CustomerID,AddressID,AddressType,ModifiedDate
29485,1086,Main Office,2007-09-01 00:00:00
29486,621,Main Office,2005-09-01 00:00:00
29489,1069,Main Office,2005-07-01 00:00:00
29490,887,Main Office,2006-09-01 00:00:00
29492,618,Main Office,2006-12-01 00:00:00
29494,537,Main Office,2005-09-01 00:00:00
29496,1072,Main Office,2007-09-01 00:00:00
29497,889,Main Office,2005-07-01 00:00:00
29499,527,Main Office,2006-09-01 00:00:00
29502,893,Main Office,2007-07-01 00:00:00
29503,32,Shipping,2006-08-01 00:00:00
29503,541,Main Office,2006-08-01 00:00:00
29505,1083,Main Office,2007-05-01 00:00:00
29506,1082,Main Office,2007-08-01 00:00:00
29508,619,Main Office,2005-12-01 00:00:00
29510,540,Main Office,2005-08-01 00:00:00
29511,1046,Main Office,2005-08-01 00:00:00
29515,504,Main Office,2005-08-01 00:00:00
29517,794,Main Office,2007-08-01 00:00:00
29521,1054,Main Office,2005-08-01 00:00:00
29522,1040,Main Office,2005-08-01 00:00:00
29523,593,Main Office,2005-08-01 00:00:00
29524,599,Main Office,2007-08-01 00:00:00
29525,1049,Main Office,2005-09-01 00:00:00
29527,512,Main Office,2007-09-01 00:00:00
29528,788,Main Office,2006-09-01 00:00:00
29530,495,Main Office,2006-09-01 00:00:00
29531,1061,Main Office,2005-12-01 00:00:00
29532,881,Main Office,2006-10-01 00:00:00
29533,801,Main Office,2005-07-01 00:00:00
29535,591,Main Office,2006-09-01 00:00:00
29536,786,Main Office,2006-12-01 00:00:00
29539,480,Main Office,2005-08-01 00:00:00
29541,467,Main Office,2005-11-01 00:00:00
29544,519,Main Office,2006-08-01 00:00:00
29545,11,Shipping,2007-04-01 00:00:00
29545,834,Main Office,2007-04-01 00:00:00
29546,635,Main Office,2006-09-01 00:00:00
29548,498,Main Office,2005-08-01 00:00:00
29550,853,Main Office,2007-09-01 00:00:00
29553,581,Main Office,2007-09-01 00:00:00
29554,776,Main Office,2005-11-01 00:00:00
29557,513,Main Office,2007-09-01 00:00:00
29558,500,Main Office,2005-08-01 00:00:00
29559,185,Shipping,2006-09-01 00:00:00
29559,861,Main Office,2006-09-01 00:00:00
29560,1030,Main Office,2006-08-01 00:00:00
29562,1091,Main Office,2005-09-01 00:00:00
29565,1073,Main Office,2005-07-01 00:00:00
29566,810,Main Office,2005-07-01 00:00:00
29567,448,Main Office,2007-08-01 00:00:00
29568,993,Main Office,2006-09-01 00:00:00
29569,562,Main Office,2005-08-01 00:00:00
29570,592,Main Office,2005-07-01 00:00:00
29571,864,Main Office,2005-08-01 00:00:00
29573,1016,Main Office,2006-09-01 00:00:00
29574,577,Main Office,2006-09-01 00:00:00
29576,514,Main Office,2006-09-01 00:00:00
29577,471,Main Office,2005-09-01 00:00:00
29579,1012,Main Office,2006-09-01 00:00:00
29580,849,Main Office,2005-07-01 00:00:00
29582,848,Main Office,2005-08-01 00:00:00
29583,576,Main Office,2005-11-01 00:00:00
29584,1014,Main Office,2006-09-01 00:00:00
29585,841,Main Office,2005-11-01 00:00:00
29587,664,Main Office,2006-07-01 00:00:00
29588,890,Main Office,2005-11-01 00:00:00
29590,789,Main Office,2006-08-01 00:00:00
29591,584,Main Office,2007-07-01 00:00:00
29593,585,Main Office,2006-08-01 00:00:00
29596,458,Main Office,2005-07-01 00:00:00
29598,1000,Main Office,2006-08-01 00:00:00
29599,877,Main Office,2006-07-01 00:00:00
29600,797,Main Office,2006-09-01 00:00:00
29601,516,Main Office,2006-08-01 00:00:00
29603,518,Main Office,2007-09-01 00:00:00
29605,1060,Main Office,2006-07-01 00:00:00
29606,871,Main Office,2005-07-01 00:00:00
29608,488,Main Office,2007-08-01 00:00:00
29611,862,Main Office,2005-11-01 00:00:00
29612,649,Main Office,2007-09-01 00:00:00
29614,529,Main Office,2005-07-01 00:00:00
29615,663,Main Office,2007-08-01 00:00:00
29616,608,Main Office,2006-08-01 00:00:00
29617,880,Main Office,2005-08-01 00:00:00
29618,658,Main Office,2006-08-01 00:00:00
29620,503,Main Office,2005-08-01 00:00:00
29622,863,Main Office,2005-09-01 00:00:00
29623,1033,Main Office,2007-07-01 00:00:00
29625,491,Main Office,2007-09-01 00:00:00
29627,447,Main Office,2006-08-01 00:00:00
29629,469,Main Office,2007-09-01 00:00:00
29631,1003,Main Office,2007-07-01 00:00:00
29632,843,Main Office,2005-09-01 00:00:00
29635,634,Main Office,2006-09-01 00:00:00
29636,1105,Main Office,2006-07-01 00:00:00
29637,559,Main Office,2005-09-01 00:00:00
29638,989,Main Office,2007-09-01 00:00:00
29639,470,Main Office,2005-09-01 00:00:00
29641,1088,Main Office,2007-07-01 00:00:00
29643,899,Main Office,2007-08-01 00:00:00
29644,643,Main Office,2006-09-01 00:00:00
29645,850,Main Office,2007-09-01 00:00:00
29646,578,Main Office,2005-07-01 00:00:00
29649,544,Main Office,2005-09-01 00:00:00
29650,1059,Main Office,2007-07-01 00:00:00
29651,606,Main Office,2005-09-01 00:00:00
29653,1019,Main Office,2007-09-01 00:00:00
29654,579,Main Office,2006-07-01 00:00:00
29655,774,Main Office,2005-09-01 00:00:00
29659,605,Main Office,2005-09-01 00:00:00
29660,1058,Main Office,2007-09-01 00:00:00
29662,1013,Main Office,2006-08-01 00:00:00
29663,575,Main Office,2006-09-01 00:00:00
29666,468,Main Office,2007-08-01 00:00:00
29668,573,Main Office,2005-11-01 00:00:00
29671,465,Main Office,2007-07-01 00:00:00
29673,1007,Main Office,2005-09-01 00:00:00
29674,571,Main Office,2005-12-01 00:00:00
29677,461,Main Office,2006-08-01 00:00:00
29680,509,Main Office,2005-08-01 00:00:00
29682,1051,Main Office,2005-10-01 00:00:00
29683,875,Main Office,2006-07-01 00:00:00
29684,795,Main Office,2006-08-01 00:00:00
29686,1048,Main Office,2005-09-01 00:00:00
29688,785,Main Office,2005-08-01 00:00:00
29689,865,Main Office,2006-07-01 00:00:00
29690,1036,Main Office,2005-09-01 00:00:00
29692,494,Main Office,2006-07-01 00:00:00
29695,867,Main Office,2007-09-01 00:00:00
29696,1039,Main Office,2006-09-01 00:00:00
29698,497,Main Office,2005-08-01 00:00:00
29699,456,Main Office,2006-08-01 00:00:00
29702,567,Main Office,2005-09-01 00:00:00
29703,1001,Main Office,2005-08-01 00:00:00
29705,459,Main Office,2005-08-01 00:00:00
29708,569,Main Office,2005-09-01 00:00:00
29709,906,Main Office,2006-09-01 00:00:00
29710,1017,Main Office,2005-09-01 00:00:00
29711,472,Main Office,2005-09-01 00:00:00
29713,644,Main Office,2007-08-01 00:00:00
29714,473,Main Office,2005-09-01 00:00:00
29716,1015,Main Office,2005-08-01 00:00:00
29717,851,Main Office,2005-08-01 00:00:00
29719,905,Main Office,2006-11-01 00:00:00
29720,1100,Main Office,2007-09-01 00:00:00
29722,555,Main Office,2005-09-01 00:00:00
29727,907,Main Office,2007-08-01 00:00:00
29728,1103,Main Office,2005-11-01 00:00:00
29730,558,Main Office,2006-12-01 00:00:00
29732,607,Main Office,2006-08-01 00:00:00
29733,1062,Main Office,2005-09-01 00:00:00
29734,517,Main Office,2005-07-01 00:00:00
29736,659,Main Office,2007-09-01 00:00:00
29737,882,Main Office,2007-07-01 00:00:00
29738,610,Main Office,2007-09-01 00:00:00
29739,1065,Main Office,2006-09-01 00:00:00
29740,520,Main Office,2005-09-01 00:00:00
29741,660,Main Office,2007-09-01 00:00:00
29742,884,Main Office,2005-08-01 00:00:00
